1,0.19,Opening
2,0.00,Opening
3,0.00,Opening
4,0.00,Opening
5,0.00,Opening
6,1.01,Opening
7,17621.55,Opening
8,16095.13,Opening
9,19353.06,Opening
10,16101.46,Opening
11,17309.21,Middlegame
12,10307.98,Middlegame
13,14731.86,Middlegame
14,21140.19,Middlegame
15,17437.95,Middlegame
16,15456.54,Middlegame
17,15498.90,Middlegame
18,10023.88,Middlegame
19,12284.68,Middlegame
20,13999.74,Middlegame
21,11769.32,Middlegame
22,14861.06,Middlegame
23,13728.25,Middlegame
24,10847.18,Middlegame
25,14089.98,Middlegame
26,10498.82,Middlegame
27,10668.30,Middlegame
28,6582.38,Middlegame
29,6093.68,Middlegame
30,6066.84,Middlegame
31,6483.04,Endgame
32,5444.66,Endgame
33,5866.75,Endgame
34,5580.86,Endgame
35,4143.64,Endgame
36,2756.97,Endgame
37,578.35,Endgame
